NAME_KURZ,terrace
03bb_ODG,"9123"
03c_TDS_Mindel_Guenz_1800_780_ka,"1213"
03bb_ODG,"9229"
03ba_ODM,"9500"
03bb_ODG,"9002"
03ba_ODM,"8586"
03ba_ODM,"9215"
03ba_ODM,"8736"
03bb_ODG,"9697"
03ba_ODM,"7902"
10a_Hoehenschotter,"10238"
03c_TDS_Mindel_Guenz_1800_780_ka,"6969"
03ba_ODM,"9815"
03c_TDS_Mindel_Guenz_1800_780_ka,"1226"
06a_HDS_Donau_Biber_1800_780_ka,"1277"
03ba_ODM,"8209"
03bb_ODG,"8859"
03bb_ODG,"9550"
03ba_ODM,"9683"
03ba_ODM,"9220"
10a_Hoehenschotter,"10245"
03bb_ODG,"9433"
10a_Hoehenschotter,"10537"
03bb_ODG,"9645"
03c_TDS_Mindel_Guenz_1800_780_ka,"1232"
03bb_ODG,"9524"
10a_Hoehenschotter,"10113"
10a_Hoehenschotter,"10303"
03bb_ODG,"9407"
06a_HDS_Donau_Biber_1800_780_ka,"1300"
03bb_ODG,"9063"
03ba_ODM,"8561"
03ba_ODM,"7663"
03ba_ODM,"7813"
03bb_ODG,"7333"
03ba_ODM,"9011"
03ba_ODM,"7698"
03c_TDS_Mindel_Guenz_1800_780_ka,"1180"
03bb_ODG,"8825"
03ba_ODM,"7421"
03ba_ODM,"7974"
03bb_ODG,"7424"
03bb_ODG,"9472"
10a_Hoehenschotter,"9865"
10a_Hoehenschotter,"10315"
03bb_ODG,"8916"
03bc_ODD,"9018"
03bb_ODG,"9128"
03c_TDS_Mindel_Guenz_1800_780_ka,"1186"
03bb_ODG,"9234"
03ba_ODM,"8589"
03bb_ODG,"9702"
10a_Hoehenschotter,"10231"
03bb_ODG,"8890"
03bb_ODG,"8667"
03c_TDS_Mindel_Guenz_1800_780_ka,"6974"
03ba_ODM,"9774"
03ba_ODM,"7433"
03bb_ODG,"9676"
03ba_ODM,"9192"
03ba_ODM,"8508"
03ba_ODM,"8373"
03ba_ODM,"9507"
03c_TDS_Mindel_Guenz_1800_780_ka,"1241"
03bb_ODG,"7273"
03bb_ODG,"8838"
03bb_ODG,"9533"
03ba_ODM,"7802"
03bb_ODG,"8721"
10a_Hoehenschotter,"10001"
10a_Hoehenschotter,"10564"
03c_TDS_Mindel_Guenz_1800_780_ka,"18846"
03bb_ODG,"7576"
03c_TDS_Mindel_Guenz_1800_780_ka,"7423"
03bb_ODG,"9730"
03bc_ODD,"9405"
03ba_ODM,"7943"
03ba_ODM,"8520"
03ba_ODM,"9426"
10a_Hoehenschotter,"10282"
10a_Hoehenschotter,"6813"
03ba_ODM,"8385"
03bb_ODG,"9163"
03ba_ODM,"8286"
03bb_ODG,"9269"
03bb_ODG,"9042"
03ba_ODM,"8728"
10a_Hoehenschotter,"10316"
03bb_ODG,"8925"
03bc_ODD,"9726"
03ba_ODM,"8154"
03bb_ODG,"9137"
03c_TDS_Mindel_Guenz_1800_780_ka,"1195"
03ba_ODM,"8304"
03ba_ODM,"8580"
03bb_ODG,"9711"
03ba_ODM,"7848"
10a_Hoehenschotter,"10055"
03bb_ODG,"9111"
03bb_ODG,"8778"
03c_TDS_Mindel_Guenz_1800_780_ka,"1201"
03ba_ODM,"9761"
03ba_ODM,"8638"
03bb_ODG,"9685"
03ba_ODM,"7321"
03ba_ODM,"9080"
03bb_ODG,"8646"
10a_Hoehenschotter,"9968"
03ba_ODM,"8047"
03bb_ODG,"8964"
03ba_ODM,"8197"
03ba_ODM,"8782"
03ba_ODM,"8489"
03bb_ODG,"8620"
03ba_ODM,"9224"
10a_Hoehenschotter,"6780"
03ba_ODM,"8358"
10a_Hoehenschotter,"9962"
10a_Hoehenschotter,"10249"
03c_TDS_Mindel_Guenz_1800_780_ka,"18716"
03bb_ODG,"9633"
03c_TDS_Mindel_Guenz_1800_780_ka,"1252"
03bb_ODG,"9300"
03ba_ODM,"7381"
03ba_ODM,"7966"
10a_Hoehenschotter,"9825"
03bc_ODD,"9622"
03bb_ODG,"9395"
03ba_ODM,"7542"
03bb_ODG,"10525"
06a_HDS_Donau_Biber_1800_780_ka,"1280"
03bb_ODG,"7559"
03bb_ODG,"9607"
03bb_ODG,"9051"
03bb_ODG,"9486"
03ba_ODM,"9134"
03ba_ODM,"8434"
03bb_ODG,"9142"
10a_Hoehenschotter,"6663"
03c_TDS_Mindel_Guenz_1800_780_ka,"1168"
03bb_ODG,"9248"
03bb_ODG,"9025"
03bb_ODG,"9716"
03bb_ODG,"9599"
03ba_ODM,"10516"
03ba_ODM,"9602"
03ba_ODM,"8183"
03ba_ODM,"7736"
03c_TDS_Mindel_Guenz_1800_780_ka,"1206"
03bb_ODG,"9116"
03ba_ODM,"9784"
03bb_ODG,"8999"
03ba_ODM,"8625"
03ba_ODM,"9210"
10a_Hoehenschotter,"10235"
03c_TDS_Mindel_Guenz_1800_780_ka,"1223"
06a_HDS_Donau_Biber_1800_780_ka,"1264"
03ba_ODM,"7306"
03ba_ODM,"9354"
03ba_ODM,"10528"
03ba_ODM,"9109"
03ba_ODM,"9219"
10a_Hoehenschotter,"6773"
03bc_ODD,"9324"
03c_TDS_Mindel_Guenz_1800_780_ka,"1261"
03ba_ODM,"8246"
03ba_ODM,"7340"
03ba_ODM,"8827"
03bb_ODG,"9082"
03bb_ODG,"9309"
03ba_ODM,"7664"
03ba_ODM,"9253"
03bb_ODG,"9521"
03ba_ODM,"8403"
03bb_ODG,"9400"
03ba_ODM,"9545"
03bc_ODD,"9729"
06a_HDS_Donau_Biber_1800_780_ka,"1291"
03ba_ODM,"8679"
03bb_ODG,"9056"
03bb_ODG,"9374"
03ba_ODM,"9022"
10a_Hoehenschotter,"6680"
03c_TDS_Mindel_Guenz_1800_780_ka,"1177"
03ba_ODM,"8258"
03bb_ODG,"8818"
03ba_ODM,"8887"
03bb_ODG,"9725"
03b_OSDS_undiff_1800_780_ka,"7524"
03bb_ODG,"9125"
03c_TDS_Mindel_Guenz_1800_780_ka,"1215"
03bb_ODG,"9004"
03bb_ODG,"7651"
03bb_ODG,"9699"
03ba_ODM,"8742"
10a_Hoehenschotter,"10236"
03c_TDS_Mindel_Guenz_1800_780_ka,"6971"
03bc_ODD,"9786"
03ba_ODM,"8899"
03bb_ODG,"8978"
03c_TDS_Mindel_Guenz_1800_780_ka,"1228"
06a_HDS_Donau_Biber_1800_780_ka,"1275"
03c_TDS_Mindel_Guenz_1800_780_ka,"7372"
03ba_ODM,"8215"
03ba_ODM,"7633"
03ba_ODM,"7759"
03bb_ODG,"9435"
03ba_ODM,"9807"
03ba_ODM,"9518"
03ba_ODM,"8644"
03c_TDS_Mindel_Guenz_1800_780_ka,"1234"
03bb_ODG,"9314"
03bb_ODG,"8835"
03bb_ODG,"9526"
03ba_ODM,"9094"
10a_Hoehenschotter,"10301"
03bb_ODG,"9182"
06a_HDS_Donau_Biber_1800_780_ka,"1298"
